7/13/2025,April 1,April 2,April 3,April 4,April 5,April 6,April 7,April 8,April 9,April 10,April 11,April 12,April 13,April 14,April 15,April 16,April 17,April 18,April 19,April 20,April 21,April 22,April 23,April 24,April 25,April 26,April 27,April 28,April 29,April 30,,TOTAL,,,,,,
New Installs,"2,735","2,909","3,735","3,191","2,942","2,603","3,198","3,506","3,293","3,504","3,138","2,782","2,627","3,075","3,222","2,901","3,218","2,890","2,632","2,436","2,737","3,327","3,671","3,848","3,473","3,267","2,815","3,864","3,677","4,397",,"95,613",,,,,,
Sign up,"2,216","2,238","3,038","2,533","2,258","1,980","2,523","2,902","2,580","2,885","2,509","2,184","2,022","2,470","2,747","2,332","2,561","2,330","2,062","1,908","2,193","2,674","2,910","3,148","2,943","2,578","2,077","2,976","3,193","3,774",,"76,744",,,,,,64805.5
KYC Completed,"1,201","1,086","1,391","1,294","1,030","1,044","1,348","1,400","1,256","1,505","1,330","1,151",946,"1,218","1,372","1,218","1,258","1,163",983,832,"1,119","1,323","1,249","1,565","1,313","1,132","1,003","1,409","1,592","1,898",,"37,629",,,,,,
FS_ELIGIBLE,534,670,802,720,610,587,756,820,755,870,752,669,531,695,761,713,694,697,548,522,648,826,784,678,799,651,570,863,945,1030,,"21,500",L0 Target Apr25,,Projection Disb.,L0 vs Target,,
Survey Submitted (Biz),139,143,192,166,155,148,229,242,235,226,215,200,150,205,187,172,209,175,108,125,154,181,198,195,251,177,166,207,236,316,,"5,702",Personal,"19,223","21,326",110.94%,,
Doc Submitted (Biz),86,68,105,78,74,67,91,111,114,118,120,88,69,69,82,69,74,85,53,59,62,72,81,99,101,75,63,85,99,140,,"2,557",FidoBiz (BL0) - New,675,299,,,
First Disbursement Personal,488,666,840,772,645,615,777,772,719,797,753,674,527,761,766,716,724,713,627,554,677,783,765,649,768,665,561,760,853,939,,"21,326",FidoBiz (BL0) - New Partnership,106,91,,,
First Disb.FidoBiz New,3,14,12,9,8,9,13,7,21,15,17,12,6,14,4,9,13,7,5,6,8,10,7,12,8,9,5,11,12,13,,299,FidoBiz (ML0) - Migrated New,569,963,,,
First Disb. Biz New Partnerships,3,2,2,3,0,3,7,1,3,3,3,8,1,3,0,4,6,5,8,3,2,3,4,3,0,2,0,2,1,6,,91,FidoBiz (ML0) - Migrated Old,"1,552","1,268",,,
First Disb. FidoBiz Migrated New,30,34,32,59,25,10,24,34,28,36,64,17,10,33,28,32,76,13,19,12,14,36,36,48,49,20,20,30,21,50,,940,,,,,,
First Disb. Biz Migrated New Partners,3,3,0,1,2,0,1,0,2,1,1,0,0,1,0,2,0,0,0,0,2,1,0,1,0,0,2,0,0,0,,23,,,,,,
First Disb. FidoBiz Migrated Old,52,61,60,51,26,20,48,32,39,23,31,20,18,36,46,32,26,18,21,27,19,36,37,51,51,53,32,67,51,73,,"1,157",Projection Budget VS Monthly Budget,,,,,
First Disb. Biz Migrated Old Partners,9,12,14,13,2,5,3,2,3,3,4,5,3,5,1,4,4,2,0,2,1,2,2,2,1,1,1,3,2,0,,111,"$108,487","$101,978",,,,
First Disbursement All New,494,682,854,784,653,627,797,780,743,815,773,694,534,778,770,729,743,725,640,563,687,796,776,664,776,676,566,773,866,958,,"21,716",,,,,,
Cost Growth,"$2,961","$3,256","$3,392","$3,367","$3,204","$3,139","$3,195","$3,254","$3,223","$3,188","$3,079","$2,964","$2,887","$3,056","$3,058","$3,057","$3,125","$2,997","$3,052","$2,881","$3,041","$3,097","$3,184","$3,150","$3,014","$3,099","$3,012","$3,091","$3,101","$3,068",,"$93,190",,,,,,
Cost Marketing ,$510,$510,$510,$510,$510,$510,$510,$510,$510,$510,$510,$510,$510,$510,$510,$510,$510,$510,$510,$510,$510,$510,$510,$510,$510,$510,$510,$510,$510,$510,,"$15,297",,,,,,
CAC,$7.03,$5.52,$4.57,$4.95,$5.69,$5.82,$4.65,$4.82,$5.02,$4.54,$4.64,$5.01,$6.36,$4.58,$4.63,$4.89,$4.89,$4.84,$5.57,$6.02,$5.17,$4.53,$4.76,$5.51,$4.54,$5.34,$6.22,$4.66,$4.17,$3.73,,$5.00,,,,,,
CPI,$1.27,$1.29,$1.04,$1.21,$1.26,$1.40,$1.16,$1.07,$1.13,$1.06,$1.14,$1.25,$1.29,$1.16,$1.11,$1.23,$1.13,$1.21,$1.35,$1.39,$1.30,$1.08,$1.01,$0.95,$1.01,$1.10,$1.25,$0.93,$0.98,$0.81,,$1.13,,,,,,
CPL,$1.57,$1.68,$1.28,$1.53,$1.64,$1.84,$1.47,$1.30,$1.45,$1.28,$1.43,$1.59,$1.68,$1.44,$1.30,$1.53,$1.42,$1.51,$1.73,$1.78,$1.62,$1.35,$1.27,$1.16,$1.20,$1.40,$1.70,$1.21,$1.13,$0.95,,$1.41,,,,,,
CPKYC,$2.89,$3.47,$2.80,$3.00,$3.61,$3.50,$2.75,$2.69,$2.97,$2.46,$2.70,$3.02,$3.59,$2.93,$2.60,$2.93,$2.89,$3.02,$3.62,$4.08,$3.17,$2.73,$2.96,$2.34,$2.68,$3.19,$3.51,$2.56,$2.27,$1.88,,$2.88,,,,,,
Installs/SignUp,81%,77%,81%,79%,77%,76%,79%,83%,78%,82%,80%,79%,77%,80%,85%,80%,80%,81%,78%,78%,80%,80%,79%,82%,85%,79%,74%,77%,87%,86%,,80%,,,,,,
Sign Up/KYC completed,54%,49%,46%,51%,46%,53%,53%,48%,49%,52%,53%,53%,47%,49%,50%,52%,49%,50%,48%,44%,51%,49%,43%,50%,45%,44%,48%,47%,50%,50%,,49%,,,,,,
KYC/First Disb.,41%,63%,61%,61%,63%,60%,59%,56%,59%,54%,58%,60%,56%,64%,56%,60%,59%,62%,65%,68%,61%,60%,62%,42%,59%,60%,56%,55%,54%,50%,,58%,,,,,,
FS/First Disb.,93%,102%,106%,109%,107%,107%,105%,95%,98%,94%,103%,104%,101%,112%,101%,102%,107%,104%,117%,108%,106%,96%,99%,98%,97%,104%,99%,90%,92%,93%,,101%,,,,,,
Survey/Docs (Biz),62%,48%,55%,47%,48%,45%,40%,46%,49%,52%,56%,44%,46%,34%,44%,40%,35%,49%,49%,47%,40%,40%,41%,51%,40%,42%,38%,41%,42%,44%,,45%,,,,,,
New install/ First dis,18%,23%,23%,25%,22%,24%,25%,22%,23%,23%,25%,25%,20%,25%,24%,25%,23%,25%,24%,23%,25%,24%,21%,17%,22%,21%,20%,20%,24%,22%,,23%,,,,,,
SignUp/First dis.,22%,30%,28%,31%,29%,32%,32%,27%,29%,28%,31%,32%,26%,31%,28%,31%,29%,31%,31%,30%,31%,30%,27%,21%,26%,26%,27%,26%,27%,25%,,28%,,,,,,
Issues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost,Rate USDGHC: ,16.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Google,"$2,393","$2,411","$2,450","$2,456","$2,450","$2,449","$2,271","$2,264","$2,346","$2,304","$2,320","$2,294","$2,285","$2,301","$2,274","$2,268","$2,275","$2,241","$2,298","$2,232","$2,223","$2,261","$2,320","$2,274","$2,232","$2,237","$2,215","$2,200","$2,136","$1,996",,"$68,676",,,,,,
Twitter,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,,,,
Facebook,$223,$244,$324,$363,$345,$363,$393,$419,$330,$282,$252,$257,$261,$267,$275,$267,$273,$272,$277,$284,$261,$291,$289,$295,$315,$332,$322,$334,$354,$390,,"$9,153",,,,,,
Appnext,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,,,,
Apple Search Ads,$70,$78,$75,$73,$67,$52,$73,$81,$82,$74,$64,$63,$67,$59,$66,$73,$76,$101,$94,$90,$93,$102,$81,$98,$97,$98,$91,$91,$131,$189,,"$2,549",,,,,,
Remarketing SMS,$0,$211,$230,$150,$37,$0,$144,$164,$164,$215,$130,$75,$0,$127,$126,$124,$177,$108,$58,$0,$164,$168,$144,$158,$48,$125,$36,$154,$147,$180,,"$3,563",,,,,,
Unapplied Leads,$0,$37,$37,$50,$30,$0,$39,$50,$26,$44,$37,$0,$0,$27,$42,$50,$50,$0,$50,$0,$25,$0,$75,$50,$47,$32,$74,$37,$58,$37,,"$1,003",,,,,,
CleverTap MJ,$6,$6,$6,$6,$6,$6,$6,$6,$6,$1,$6,$6,$6,$6,$6,$6,$6,$6,$6,$6,$6,$6,$6,$6,$6,$6,$6,$6,$6,$6,,$164,,,,,,
Kochava,$31,$31,$31,$31,$31,$31,$31,$31,$31,$31,$31,$31,$31,$31,$31,$31,$31,$31,$31,$31,$31,$31,$31,$31,$31,$31,$31,$31,$31,$31,,$917,,,,,,
MTN,$16,$16,$16,$16,$16,$16,$16,$16,$16,$16,$16,$16,$16,$16,$16,$16,$16,$16,$16,$16,$16,$16,$16,$16,$16,$16,$16,$16,$16,$16,,$476,,,"$3,335",,,
Africa Talking,$45,$45,$45,$45,$45,$45,$45,$45,$45,$45,$45,$45,$45,$45,$45,$45,$45,$45,$45,$45,$45,$45,$45,$45,$45,$45,$45,$45,$45,$45,,"$1,364",,,$3,,,
MTN Blast SMS,$95,$95,$95,$95,$95,$95,$95,$95,$95,$95,$95,$95,$95,$95,$95,$95,$95,$95,$95,$95,$95,$95,$95,$95,$95,$95,$95,$95,$95,$95,,"$2,859",,,,,,
Referal payments,$82,$82,$82,$82,$82,$82,$82,$82,$82,$82,$82,$82,$82,$82,$82,$82,$82,$82,$82,$82,$82,$82,$82,$82,$82,$82,$82,$82,$82,$82,,"$2,466","93,190",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markeing - Brand Monthly budget,$510,$510,$510,$510,$510,$510,$510,$510,$510,$510,$510,$510,$510,$510,$510,$510,$510,$510,$510,$510,$510,$510,$510,$510,$510,$510,$510,$510,$510,$510,,"$15,297",,,,,,
TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,$0.00,,,,
Poster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,"15,297",$0.00,,,,
Billboards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,,,
Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,,,
Stickers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,,,
Influencer - Delay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,,,
Field Agents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,,,
Ambassadors + Referrals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,,,
Social Campaigns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,,,
Video Production and Content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,,,
PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,,,
Partnerships,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impact Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,,,
FIdoBiz Box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,,,
Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,,,
Organic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Budget,Cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organic,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Google Ads,,"$68,676",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter-Android,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,,"$9,153",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AppNext - Android,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNO MTN,,$476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNO AT,,"$1,364",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTN SMS,,"$2,859",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remarketing SMS,,"$3,563",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unapplied_Leads,,"$1,003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CleverTap MJ,,$164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Posters,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billboard,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radio,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stickers,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delay,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuame Eugene,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambassadors + Referrals,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Campaigns,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field Agents,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,$0.00,"$87,258.34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,