7/13/2025,May 1,May 2,May 3,May 4,May 5,May 6,May 7,May 8,May 9,May 10,May 11,May 12,May 13,May 14,May 15,May 16,May 17,May 18,May 19,May 20,May 21,May 22,May 23,May 24,May 25,May 26,May 27,May 28,May 29,May 30,May 31,,TOTAL,,,,
New Installs,"3,621","3,480","3,153","2,758","3,304","3,535","3,390","3,444","3,425","3,062","2,675","3,376","3,357","3,396","3,264","3,387","2,936","2,831","3,357","3,546","3,622","3,650","3,388","3,034","2,877","3,249","3,480","3,420","3,212","3,499","3,041",,"101,769",,,,
Sign up,"3,092","3,004","2,545","2,021","2,687","2,808","2,630","2,703","2,738","2,471","2,038","2,599","2,808","2,832","2,781","2,744","2,390","2,220","2,966","2,916","3,056","3,038","2,754","2,498","2,364","2,774","2,927","2,929","2,730","2,794","2,372",,"83,229",,,,
KYC Completed,"1,583","1,479","1,382","1,029","1,307","1,393","1,409","1,366","1,246","1,260",966,"1,325","1,417","1,398","1,484","1,406","1,277","1,135","1,477","1,530","1,534","1,575","1,347","1,246","1,124","1,456","1,520","1,464","1,434","1,530","1,280",,"42,379",,,,
FS_ELIGIBLE,932,918,817,609,815,876,859,800,814,799,578,818,925,867,929,868,804,727,947,867,1008,995,859,799,723,908,877,940,895,948,235,,"25,756",L0 Target May25,,Projection Disb.,L0 vs Target
Survey Submitted (Biz),161,151,148,107,193,196,192,204,177,208,140,192,240,227,244,259,217,135,143,128,136,136,141,114,88,147,319,420,338,282,278,,"6,061",Personal,"19,454","24,958",128.29%
Doc Submitted (Biz),93,61,62,44,73,76,96,90,93,87,68,70,106,86,118,130,87,87,96,132,137,133,108,88,95,98,135,148,133,98,123,,"3,051",FidoBiz (BL0) - New,775,328,
First Disbursement Personal,881,868,793,600,795,824,803,764,824,749,566,777,863,827,837,868,748,710,871,854,918,912,830,753,686,865,850,883,809,864,766,,"24,958",FidoBiz (BL0) - New Partnership,186,94,
First Disb.FidoBiz New,13,18,8,0,9,8,10,8,13,7,8,13,14,10,11,13,9,8,8,14,15,13,15,10,3,12,10,15,11,11,11,,328,FidoBiz (ML0) - Migrated New,589,972,
First Disb. Biz New Partnerships,4,3,2,1,1,1,2,4,6,0,0,1,0,4,4,2,4,2,6,4,2,5,6,3,2,3,6,6,3,3,4,,94,FidoBiz (ML0) - Migrated Old,"1,607","1,336",
First Disb. FidoBiz Migrated New,14,69,11,6,26,32,29,40,64,7,6,30,25,31,22,51,18,12,16,36,31,29,66,22,16,29,43,22,23,67,14,,907,,,,
First Disb. Biz Migrated New Partners,0,0,0,0,1,1,0,1,0,0,0,0,1,2,1,3,3,1,0,1,1,6,5,3,1,7,10,4,5,7,1,,65,,,,
First Disb. FidoBiz Migrated Old,49,50,28,21,30,38,33,32,23,19,21,36,28,35,25,41,25,25,37,35,45,54,48,44,30,62,82,65,51,81,45,,"1,238",Projection Budget VS Monthly Budget,,,
First Disb. Biz Migrated Old Partners,2,3,1,1,1,1,1,1,3,0,0,3,1,2,3,2,1,1,0,0,1,1,2,4,4,7,15,12,7,13,5,,98,"$113,631","$103,873",,
First Disbursement All New,898,889,803,601,805,833,815,776,843,756,574,791,877,841,852,883,761,720,885,872,935,930,851,766,691,880,866,904,823,878,781,,"25,380",,,,
Cost Growth,"$3,017","$3,153","$3,070","$3,028","$3,257","$3,426","$3,458","$3,431","$3,546","$3,371","$3,277","$3,604","$3,323","$3,329","$3,185","$3,199","$3,047","$2,955","$3,073","$3,221","$3,199","$3,143","$3,076","$3,005","$2,950","$3,055","$3,022","$3,046","$2,960","$2,912","$2,712",,"$98,050",,,,
Cost Marketing ,$503,$503,$503,$503,$503,$503,$503,$503,$503,$503,$503,$503,$503,$503,$503,$503,$503,$503,$503,$503,$503,$503,$503,$503,$503,$503,$503,$503,$503,$503,$503,,"$15,581",,,,
CAC,$3.92,$4.11,$4.45,$5.87,$4.67,$4.72,$4.86,$5.07,$4.80,$5.12,$6.59,$5.19,$4.36,$4.56,$4.33,$4.19,$4.66,$4.80,$4.04,$4.27,$3.96,$3.92,$4.21,$4.58,$5.00,$4.04,$4.07,$3.93,$4.21,$3.89,$4.12,,$4.48,,,,
CPI,$0.97,$1.05,$1.13,$1.28,$1.14,$1.11,$1.17,$1.14,$1.18,$1.27,$1.41,$1.22,$1.14,$1.13,$1.13,$1.09,$1.21,$1.22,$1.06,$1.05,$1.02,$1.00,$1.06,$1.16,$1.20,$1.10,$1.01,$1.04,$1.08,$0.98,$1.06,,$1.12,,,,
CPL,$1.14,$1.22,$1.40,$1.75,$1.40,$1.40,$1.51,$1.46,$1.48,$1.57,$1.85,$1.58,$1.36,$1.35,$1.33,$1.35,$1.49,$1.56,$1.21,$1.28,$1.21,$1.20,$1.30,$1.40,$1.46,$1.28,$1.20,$1.21,$1.27,$1.22,$1.36,,$1.37,,,,
CPKYC,$2.22,$2.47,$2.59,$3.43,$2.88,$2.82,$2.81,$2.88,$3.25,$3.07,$3.91,$3.10,$2.70,$2.74,$2.49,$2.63,$2.78,$3.05,$2.42,$2.43,$2.41,$2.31,$2.66,$2.82,$3.07,$2.44,$2.32,$2.42,$2.41,$2.23,$2.51,,$2.68,,,,
Installs/SignUp,85%,86%,81%,73%,81%,79%,78%,78%,80%,81%,76%,77%,84%,83%,85%,81%,81%,78%,88%,82%,84%,83%,81%,82%,82%,85%,84%,86%,85%,80%,78%,,82%,,,,
Sign Up/KYC completed,51%,49%,54%,51%,49%,50%,54%,51%,46%,51%,47%,51%,50%,49%,53%,51%,53%,51%,50%,52%,50%,52%,49%,50%,48%,52%,52%,50%,53%,55%,54%,,51%,,,,
KYC/First Disb.,57%,60%,58%,58%,62%,60%,58%,57%,68%,60%,59%,60%,62%,60%,57%,63%,60%,63%,60%,57%,61%,59%,63%,61%,61%,60%,57%,62%,57%,57%,61%,,60%,,,,
FS/First Disb.,96%,97%,98%,99%,99%,95%,95%,97%,104%,95%,99%,97%,95%,97%,92%,102%,95%,99%,93%,101%,93%,93%,99%,96%,96%,97%,99%,96%,92%,93%,332%,,99%,,,,
Survey/Docs (Biz),58%,40%,42%,41%,38%,39%,50%,44%,53%,42%,49%,36%,44%,38%,48%,50%,40%,64%,67%,103%,101%,98%,77%,77%,108%,67%,42%,35%,39%,35%,44%,,50%,,,,
New install/ First dis,25%,26%,25%,22%,24%,24%,24%,23%,25%,25%,21%,23%,26%,25%,26%,26%,26%,25%,26%,25%,26%,25%,25%,25%,24%,27%,25%,26%,26%,25%,26%,,25%,,,,
SignUp/First dis.,29%,30%,32%,30%,30%,30%,31%,29%,31%,31%,28%,30%,31%,30%,31%,32%,32%,32%,30%,30%,31%,31%,31%,31%,29%,32%,30%,31%,30%,31%,33%,,30%,,,,
Issues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost,Rate USDGHC: ,16.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Google,"$2,230","$2,251","$2,249","$2,231","$2,262","$2,441","$2,435","$2,511","$2,483","$2,492","$2,455","$2,516","$2,292","$2,327","$2,288","$2,304","$2,284","$2,269","$2,245","$2,304","$2,280","$2,249","$2,175","$2,173","$2,136","$2,130","$2,080","$2,056","$2,039","$1,996","$1,708",,"$69,891",,,,
Twitter,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,,
Facebook,$371,$350,$373,$413,$438,$473,$479,$479,$491,$483,$486,$478,$495,$445,$315,$356,$343,$346,$380,$384,$399,$394,$414,$373,$400,$402,$417,$423,$413,$434,$466,,"$12,912",,,,
Appnext,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,,
Apple Search Ads,$129,$111,$98,$75,$119,$101,$102,$72,$95,$77,$73,$108,$143,$148,$141,$135,$98,$102,$120,$131,$157,$138,$131,$101,$109,$136,$155,$142,$110,$102,$169,,"$3,628",,,,
Remarketing SMS,$25,$68,$0,$0,$147,$81,$92,$38,$50,$0,$0,$113,$64,$121,$155,$133,$47,$0,$52,$68,$43,$61,$45,$43,$18,$66,$61,$134,$101,$61,$49,,"$1,938",,,,
Unapplied Leads,$25,$37,$57,$0,$49,$43,$49,$49,$49,$34,$0,$37,$37,$49,$49,$33,$37,$0,$37,$56,$43,$30,$43,$43,$43,$61,$49,$49,$61,$46,$58,,"$1,254",,,,
CleverTap SMS Africa Talking,$0,$98,$55,$71,$3,$49,$63,$44,$139,$47,$25,$114,$54,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$38,$0,$0,$0,$0,$0,,$799,,,,
CleverTap MJ Infobip,$3,$3,$3,$3,$3,$3,$3,$3,$3,$3,$3,$3,$3,$3,$3,$3,$3,$3,$3,$43,$43,$36,$33,$38,$8,-$14,$24,$7,$0,$37,$27,,$343,,,,
Kochava,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,,$917,,,,
MTN,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,,$392,,,,
Africa Talking,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,,"$2,019",,,,
MTN Blast SMS,$68,$68,$68,$68,$68,$68,$68,$68,$68,$68,$68,$68,$68,$68,$68,$68,$68,$68,$68,$68,$68,$68,$68,$68,$68,$68,$68,$68,$68,$68,$68,,"$2,117",,,,
Referal payments,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,,"$1,841","98,050",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markeing - Brand Monthly budget,$503,$503,$503,$503,$503,$503,$503,$503,$503,$503,$503,$503,$503,$503,$503,$503,$503,$503,$503,$503,$503,$503,$503,$503,$503,$503,$503,$503,$503,$503,$503,,"$15,581",,,,
TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,$0.00,,
Poster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,"15,581",$0.00,,
Billboards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
Stickers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
Influencer - Delay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
Field Agents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
Ambassadors + Referrals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
Social Campaigns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
Video Production and Content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
Partnerships,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impact Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
FIdoBiz Box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
Organic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Budget,Cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organic,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Google Ads,,"$69,891",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter-Android,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,,"$12,912",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AppNext - Android,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNO MTN,,$392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNO AT,,"$2,019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTN SMS,,"$2,117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remarketing SMS,,"$1,938",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unapplied_Leads,,"$1,254",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CleverTap MJ,,$343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Posters,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billboard,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radio,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stickers,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delay,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuame Eugene,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambassadors + Referrals,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Campaigns,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field Agents,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,$0.00,"$90,865.06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,