1/9/2025,December 1,December 2,December 3,December 4,December 5,December 6,December 7,December 8,December 9,December 10,December 11,December 12,December 13,December 14,December 15,December 16,December 17,December 18,December 19,December 20,December 21,December 22,December 23,December 24,December 25,December 26,December 27,December 28,December 29,December 30,December 31,,TOTAL,,,,,,,,,,,,,,,,,,,,,July 9
New Installs,"2,525","2,841","2,938","2,791","3,263","2,790","2,059","1,837","2,515","2,522","3,019","2,619","2,713","2,234","2,086","2,496","2,685","2,535","2,665","2,385","2,089","2,093","3,007","2,574","2,222","2,142","2,338","2,306","2,207","2,425","2,291",,"77,212",,,,,,,,,,,,,,,,,,,,,
Sign up,"1,951","2,325","2,431","2,032","2,489","2,262","1,525","1,273","2,109","2,071","2,583","2,114","2,266","1,896","1,698","2,144","2,193","2,147","2,222","1,890","1,694","1,577","2,416","2,209","1,760","1,731","1,763","1,757","1,640","1,890","1,916",,"61,974",,,,,,,"77,212",,,,,,,,,,,,,,
KYC Completed,852,"1,140","1,142","1,075","1,143","1,122",787,649,"1,078","1,027","1,227","1,027","1,080",922,788,968,"1,050","1,090","1,071",939,822,789,"1,145","1,115",878,774,862,844,746,995,928,,"30,075",,,,,,,,,,,,,,,,,,,,,
FS_ELIGIBLE,341,502,485,467,511,477,304,260,485,476,524,431,474,382,310,424,430,452,436,442,352,314,484,467,348,317,369,375,296,475,413,,"12,823",L0 vs Target,L0 Target Apr24,Projection L0/Budget,Projection Leads,,,,,,,,,,,,,,,,,
First Disbursement Personal,317,430,403,402,420,398,299,248,484,440,517,466,458,370,306,402,441,426,425,427,344,310,447,424,330,312,388,381,334,467,484,,"12,300",66.61%,"18,614","9,538","47,672",,,,,,,,,,,,,,,,,
First Disbursement FidoBiz,2,3,5,1,5,1,1,3,5,3,3,3,2,3,1,4,2,3,1,1,3,1,3,9,4,3,4,5,1,7,7,,99,,,"64,616",,,,,,,,,,,,,,,,,,
First Disbursement All,319,433,408,403,425,399,300,251,489,443,520,469,460,373,307,406,443,429,426,428,347,311,450,433,334,315,392,386,335,474,491,,"12,399",,,,,,,,,,,,,,,,,,,,,
Cost Digital,"$2,632","$2,877","$2,823","$2,993","$2,873","$2,855","$2,462","$1,897","$2,174","$2,428","$2,567","$2,470","$2,437","$2,415","$2,320","$2,379","$2,376","$2,381","$2,371","$2,337","$2,275","$2,107","$2,282","$2,430","$2,129","$2,047","$2,399","$2,257","$2,178","$2,312","$2,149",,"$74,633",,,,$0.51,,,,,,,,,,,,,,,,,
Cost offline ,$302,$302,$302,$302,$302,$302,$302,$302,$302,$302,$302,$302,$302,$302,$302,$302,$302,$302,$302,$302,$302,$302,$302,$302,$302,$302,$302,$302,$302,$302,$302,,"$9,368",,,,$0.00,,,,,,,,,,,,,,,,,
CAC,$8.83,$6.87,$7.16,$7.67,$6.99,$7.40,$8.54,$7.95,$4.65,$5.70,$5.13,$5.48,$5.51,$6.74,$7.88,$6.10,$5.59,$5.78,$5.80,$5.69,$6.84,$7.09,$5.29,$5.84,$6.67,$6.81,$6.37,$6.10,$6.80,$5.09,$4.58,,$6.27,,2050,,,,,,,,,,,,,,,,,,,
CAC incl. Branding,$9.20,$7.34,$7.66,$8.18,$7.47,$7.91,$9.21,$8.76,$5.06,$6.16,$5.52,$5.91,$5.96,$7.29,$8.54,$6.60,$6.04,$6.25,$6.27,$6.17,$7.43,$7.75,$5.74,$6.31,$7.28,$7.46,$6.89,$6.63,$7.40,$5.51,$4.99,,$6.77,,512.5,,,,,,,,,,,,,,,,,,,
CPI,$1.16,$1.12,$1.06,$1.18,$0.97,$1.13,$1.34,$1.20,$0.98,$1.08,$0.95,$1.06,$1.01,$1.22,$1.26,$1.07,$1.00,$1.06,$1.00,$1.11,$1.23,$1.15,$0.86,$1.06,$1.09,$1.10,$1.16,$1.11,$1.12,$1.08,$1.07,,$1.09,,,"$15,338",,,,,,,,,,,,,,,,,,
CPL,$1.50,$1.37,$1.29,$1.62,$1.28,$1.40,$1.81,$1.73,$1.17,$1.32,$1.11,$1.31,$1.21,$1.43,$1.54,$1.25,$1.22,$1.25,$1.20,$1.40,$1.52,$1.53,$1.07,$1.24,$1.38,$1.36,$1.53,$1.46,$1.51,$1.38,$1.28,,$1.36,,,$4.87,,,,,,,,,,,,,,,,,,
CPKYC,$3.44,$2.79,$2.74,$3.06,$2.78,$2.81,$3.51,$3.39,$2.30,$2.66,$2.34,$2.70,$2.54,$2.95,$3.33,$2.77,$2.55,$2.46,$2.50,$2.81,$3.13,$3.05,$2.26,$2.45,$2.77,$3.04,$3.13,$3.03,$3.32,$2.63,$2.64,,$2.79,,15338.25,,,,,,,,,,,,,,,,,,,
Installs/SignUp,77%,82%,83%,73%,76%,81%,74%,69%,84%,82%,86%,81%,84%,85%,81%,86%,82%,85%,83%,79%,81%,75%,80%,86%,79%,81%,75%,76%,74%,78%,84%,,80%,,$4.87,,Budget cost,"$128,251",,,,Installs/SignUp,78%,,,,,,,,,,,
Sign Up/KYC completed,44%,49%,47%,53%,46%,50%,52%,51%,51%,50%,48%,49%,48%,49%,46%,45%,48%,51%,48%,50%,49%,50%,47%,50%,50%,45%,49%,48%,45%,53%,48%,,49%,,,,Total,"$84,001",,,,Sign Up/KYC completed,49%,,,,,,,,,,,
KYC/First Disb.,37%,38%,36%,37%,37%,36%,38%,39%,45%,43%,42%,46%,43%,40%,39%,42%,42%,39%,40%,46%,42%,39%,39%,39%,38%,41%,45%,46%,45%,48%,53%,,41%,,,,GH,,,,,KYC/First Disb.,55%,,,,,,,,,,,
FS/First Disb.,94%,86%,84%,86%,83%,84%,99%,97%,101%,93%,99%,109%,97%,98%,99%,96%,103%,95%,98%,97%,99%,99%,93%,93%,96%,99%,106%,103%,113%,100%,119%,,97%,,,,Paid,"$74,633",,,,FS/First Disb.,93%,,,,,,,,,,,
New install/ First dis,13%,15%,14%,14%,13%,14%,15%,14%,19%,18%,17%,18%,17%,17%,15%,16%,16%,17%,16%,18%,17%,15%,15%,17%,15%,15%,17%,17%,15%,20%,21%,,16%,,,,Offline,"$9,368",,,,New install/ First dis,21%,,,,,,,,,,,
SignUp/First dis.,16%,19%,17%,20%,17%,18%,20%,20%,23%,21%,20%,22%,20%,20%,18%,19%,20%,20%,19%,23%,20%,20%,19%,20%,19%,18%,22%,22%,20%,25%,26%,,20%,,,,FidoBiz GH,,,,,SignUp/First dis.,27%,,,,,,,,,,,
Issues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UG,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paid,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Offline,,,,,,,,,,,,,,,,,
Cost,Rate USDGHC: ,11.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FidoBiz UG,,,,,,,,,,,,,,,,,
Google,"$2,091","$2,214","$2,197","$2,360","$2,231","$2,218","$1,899","$1,544","$1,706","$1,830","$2,036","$1,996","$2,027","$1,982","$1,924","$1,898","$1,843","$1,787","$1,736","$1,728","$1,716","$1,683","$1,693","$1,700","$1,658","$1,556","$1,764","$1,666","$1,651","$1,644","$1,534",,"$57,512",,"$73,476.00",,,,,,,,,,,,,,,,,,,
Twitter,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,"$12,165.00",,,,,,,,,,,,,,,,,,,
Facebook,$401,$303,$251,$263,$264,$264,$257,$204,$198,$293,$225,$205,$215,$248,$216,$213,$217,$287,$331,$308,$280,$273,$352,$352,$314,$338,$347,$361,$345,$338,$285,,"$8,748",,,,,,,,,,,,,,,,,,,,,
Appnext,$18,$24,$28,$23,$31,$33,$37,$27,$19,$30,$32,$9,$13,$11,$6,$15,$16,$21,$18,$15,$19,$29,$45,$37,$35,$31,$40,$29,$33,$38,$37,,$799,,,,,,,,,,,,,,,,,,,,,
Remarketing SMS,$0,$113,$137,$137,$137,$130,$104,$0,$77,$101,$100,$85,$8,$0,$0,$79,$125,$111,$111,$111,$75,$0,$70,$167,$0,$0,$90,$44,$27,$117,$118,,"$2,377",,,,,,,,,,,,,,,,,,,,,
Unapplied Leads,$0,$101,$87,$87,$87,$87,$42,$0,$52,$52,$52,$52,$52,$52,$52,$52,$52,$52,$52,$52,$63,$0,$0,$52,$0,$0,$35,$35,$0,$52,$52,,"$1,406",,,,,,,,,,,,,,,,,,,,,
CleverTap MJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,,,,,,,,,,,,,,,,,,
MTN,$26,$26,$26,$26,$26,$26,$26,$26,$26,$26,$26,$26,$26,$26,$26,$26,$26,$26,$26,$26,$26,$26,$26,$26,$26,$26,$26,$26,$26,$26,$26,,$791,,,,,,,,,,,,,,,,,,,,,
AT,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,,,,,,,,,,,,,,,,,,,
MTN Blast SMS,$97,$97,$97,$97,$97,$97,$97,$97,$97,$97,$97,$97,$97,$97,$97,$97,$97,$97,$97,$97,$97,$97,$97,$97,$97,$97,$97,$97,$97,$97,$97,,"$3,000","74,633",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,,,,,,,,,,,,,,,,,,,
Poster,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,,,,,,,,,,,,,,,,,,,
Billboards,$116,$116,$116,$116,$116,$116,$116,$116,$116,$116,$116,$116,$116,$116,$116,$116,$116,$116,$116,$116,$116,$116,$116,$116,$116,$116,$116,$116,$116,$116,$116,,"$3,600",,,,,,,,,,,,,,,,,,,,,
Radio,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,,,,,,,,,,,,,,,,,,,
Stickers,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,,,,,,,,,,,,,,,,,,,
Influencer - Delay,$99,$99,$99,$99,$99,$99,$99,$99,$99,$99,$99,$99,$99,$99,$99,$99,$99,$99,$99,$99,$99,$99,$99,$99,$99,$99,$99,$99,$99,$99,$99,,"$3,056",,,,,,,,,,,,,,,,,,,,,
Field Agents,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,,,,,,,,,,,,,,,,,,,
Ambassadors + Referrals,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,,,,,,,,,,,,,,,,,,,
Social Campaigns,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,,,,,,,,,,,,,,,,,,,
Video Production and Content,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,,,,,,,,,,,,,,,,,,,
PR,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,,,,,,,,,,,,,,,,,,,
Partnerships,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,,,,,,,,,,,,,,,,,,,,,,
Office Branding,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,,,,,,,,,,,,,,,,,,,
Outbound,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,,,,,,,,,,,,,,,,,,,
Referal payments,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,,"$2,712",,,,,,,,,,,,,,,,,,,,,
Events,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,,,,,,,,,,,,,,,,,,,
Organic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,"9,368",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Budget,Cost,Installs,Disb.,CAC,CPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organic,,$0,"-17,792","1,608",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Google Ads,,"$57,512","75,181","8,227",$6.99,$0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter-Android,,$0,0,0,$0.0,$0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,,"$8,748","13,372",937,$9.3,$0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AppNext - Android,,$799,"2,726",272,$2.9,$0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNO MTN,,$791,"1,810",786,$1.0,$0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNO AT,,$0,51,158,$0.0,$0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTN SMS,,"$3,000",323,0,$0.0,$9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remarketing SMS,,"$2,377",224,24,$99.0,$10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unapplied_Leads,,"$1,406",536,73,$19.3,$2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CleverTap MJ,,$0,21,6,$0.0,$0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV,,$0,1,1,$0.0,$0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Posters,,$0,0,3,$0.0,$0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billboard,,"$3,600",29,24,$150.0,$124.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radio,,$0,34,37,$0.0,$0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stickers,,$0,13,41,$0.0,$0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delay,,"$3,056",682,92,$33.2,$4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuame Eugene,,$0,1,11,$0.0,$0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambassadors + Referrals,,$0,0,0,$0.0,$0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Campaigns,,$0,0,0,$0.0,$0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR,,$0,0,0,$0.0,$0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field Agents,,$0,0,4,$0.0,$0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,$0.00,"$81,288.77","77,212","12,304",$6.61,$1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,