9/5/2025,August 1,August 2,August 3,August 4,August 5,August 6,August 7,August 8,August 9,August 10,August 11,August 12,August 13,August 14,August 15,August 16,August 17,August 18,August 19,August 20,August 21,August 22,August 23,August 24,August 25,August 26,August 27,August 28,August 29,August 30,August 31,,TOTAL,,,,
New Installs,739,711,720,724,771,764,922,754,777,743,814,761,685,804,752,702,723,792,732,795,"1,016",705,696,694,707,711,684,700,703,690,568,,"23,059",,,,
Sign up,622,645,630,629,661,628,772,697,701,656,800,656,650,704,684,632,583,715,665,689,998,634,648,616,646,647,634,529,627,532,535,,"20,465",,,,
KYC Completed,234,255,247,227,256,244,290,283,267,240,287,268,264,255,255,237,233,270,256,274,389,266,241,220,274,262,242,215,234,182,204,,"7,871",Projection Budget VS Monthly Budget,,,
FS_ELIGIBLE,72,78,69,79,79,68,87,83,70,54,82,67,65,65,61,57,74,78,81,89,132,79,79,62,73,68,70,62,54,46,48,,"2,231","$18,719","$22,204",,
First Disbursement Personal,71,75,55,79,82,75,83,92,80,59,84,71,49,64,60,55,56,50,98,93,124,101,84,65,83,83,72,68,57,45,62,,"2,275",,,,
First Disb.FidoBiz New,10,1,2,11,5,5,3,2,0,0,13,3,2,6,2,1,0,6,14,4,7,3,3,1,6,8,0,10,2,2,1,,133,L0 Target May25,,Projection Disb.,L0 vs Target
First Disb. FidoBiz Migrated New,15,1,3,8,8,4,6,6,1,3,6,9,6,5,8,4,2,10,6,11,7,14,5,1,5,3,8,11,14,2,1,,193,Personal,"2,588","2,015",87.91%
First Disb. FidoBiz Migrated Old,5,4,0,6,7,5,3,9,2,4,8,4,4,0,3,1,1,4,3,6,5,2,2,1,5,4,6,7,9,3,4,,127,FidoBiz (BL0) - New,150,118,88.67%
First Disbursement All,81,76,57,90,87,80,86,94,80,59,97,74,51,70,62,56,56,56,112,97,131,104,87,66,89,91,72,78,59,47,63,,"2,408",First Disb. FidoBiz Migrated New,50,171,386.00%
Cost Growth,$651,$642,$639,$675,$607,$588,$718,$559,$567,$543,$650,$565,$548,$555,$531,$517,$512,$515,$517,$598,$658,$614,$189,$587,$597,$557,$599,$603,$535,$568,$587,,"$17,804",First Disb. FidoBiz Migrated Old,0,112,0.00%
Cost Marketing ,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,,"$3,331",,,,
CAC,$9.37,$9.87,$13.10,$8.70,$8.22,$8.70,$9.60,$7.10,$8.44,$11.03,$7.81,$9.09,$12.86,$9.47,$10.31,$11.16,$11.07,$11.12,$5.58,$7.28,$5.84,$6.94,$3.41,$10.53,$7.92,$7.31,$9.81,$9.11,$10.90,$14.38,$11.02,,$8.78,,,,
CPI,$1.03,$1.05,$1.04,$1.08,$0.93,$0.91,$0.90,$0.88,$0.87,$0.88,$0.93,$0.88,$0.96,$0.82,$0.85,$0.89,$0.86,$0.79,$0.85,$0.89,$0.75,$1.02,$0.43,$1.00,$1.00,$0.94,$1.03,$1.02,$0.91,$0.98,$1.22,,$0.92,,,,
CPL,$1.22,$1.16,$1.19,$1.24,$1.08,$1.11,$1.07,$0.96,$0.96,$0.99,$0.95,$1.03,$1.01,$0.94,$0.93,$0.99,$1.06,$0.87,$0.94,$1.02,$0.77,$1.14,$0.46,$1.13,$1.09,$1.03,$1.11,$1.34,$1.03,$1.27,$1.30,,$1.03,,,,
CPKYC,$3.24,$2.94,$3.02,$3.45,$2.79,$2.85,$2.85,$2.36,$2.53,$2.71,$2.64,$2.51,$2.48,$2.60,$2.51,$2.64,$2.66,$2.31,$2.44,$2.58,$1.97,$2.71,$1.23,$3.16,$2.57,$2.54,$2.92,$3.31,$2.75,$3.71,$3.40,,$2.69,,,,
Installs/SignUp,84%,91%,88%,87%,86%,82%,84%,92%,90%,88%,98%,86%,95%,88%,91%,90%,81%,90%,91%,87%,98%,90%,93%,89%,91%,91%,93%,76%,89%,77%,94%,,89%,,,,
Sign Up/KYC completed,38%,40%,39%,36%,39%,39%,38%,41%,38%,37%,36%,41%,41%,36%,37%,38%,40%,38%,38%,40%,39%,42%,37%,36%,42%,40%,38%,41%,37%,34%,38%,,38%,,,,
KYC/First Disb.,35%,30%,23%,40%,34%,33%,30%,33%,30%,25%,34%,28%,19%,27%,24%,24%,24%,21%,44%,35%,34%,39%,36%,30%,32%,35%,30%,36%,25%,26%,31%,,31%,,,,
FS/First Disb.,99%,96%,80%,100%,104%,110%,95%,111%,114%,109%,102%,106%,75%,98%,98%,96%,76%,64%,121%,104%,94%,128%,106%,105%,114%,122%,103%,110%,106%,98%,129%,,102%,,,,
New install/ First dis,11%,11%,8%,12%,11%,10%,9%,12%,10%,8%,12%,10%,7%,9%,8%,8%,8%,7%,15%,12%,13%,15%,13%,10%,13%,13%,11%,11%,8%,7%,11%,,10%,,,,
SignUp/First dis.,13%,12%,9%,14%,13%,13%,11%,13%,11%,9%,12%,11%,8%,10%,9%,9%,10%,8%,17%,14%,13%,16%,13%,11%,14%,14%,11%,15%,9%,9%,12%,,12%,,,,
Issues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost,Rate UGXUSD: ,"3,665.59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Google,$504,$507,$512,$539,$494,$496,$526,$464,$480,$464,$482,$462,$455,$455,$440,$431,$431,$451,$483,$435,$438,$455,$44,$457,$471,$451,$459,$489,$465,$476,$447,,"$14,163","$81,239",,,
Twitter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,"81,353.72",,,
Facebook,$87,$86,$89,$85,$65,$52,$50,$53,$51,$54,$56,$52,$50,$53,$54,$50,$53,$52,$22,$107,$116,$103,$89,$86,$78,$59,$51,$46,$27,$55,$58,,"$1,989",114.72,,,
LinkedIn Ads,$48,$37,$26,$39,$36,$28,$37,$30,$24,$13,$38,$39,$31,$35,$25,$24,$16,$0,$0,$44,$45,$44,$44,$32,$36,$35,$35,$34,$31,$25,$21,,$952,,,,
AT UG Blast,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,,$387,,,,
Remarketing SMS,$0,$0,$0,$0,$0,$0,$93,$0,$0,$0,$61,$0,$0,$0,$0,$0,$0,$0,$0,$0,$47,$0,$0,$0,$0,$0,$42,$22,$0,$0,$48,,$313,,,,
Marketing - Brand,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,,"$3,331",,,,
TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
Poster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
Billboards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
MTN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
Influencer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
Video Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
Social media awarness ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
Referral/unapplied leads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Remarketing Cost 
(Alon Budget)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook - Business loans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost FidoBiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook - Business agent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
Remarketing SMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Google - Business agent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,601,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
googleadwords_int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook ads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
appnext_int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remarketing SMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Posters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billboards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNO MTN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNO AT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stickers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Referral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,