2/3/2025,January 1,January 2,January 3,January 4,January 5,January 6,January 7,January 8,January 9,January 10,January 11,January 12,January 13,January 14,January 15,January 16,January 17,January 18,January 19,January 20,January 21,January 22,January 23,January 24,January 25,January 26,January 27,January 28,January 29,January 30,January 31,,TOTAL,,,,,,,,,,,,,,,,,,,July 9
New Installs,"2,227","2,408","2,501","2,374","2,255","2,662","2,669","3,138","3,367","3,535","2,752","2,583","3,033","3,292","3,284","3,450","2,822","2,175","2,071","2,575","3,332","3,539","3,698","3,805","3,212","3,017","3,849","4,346","4,128","3,705","3,436",,"95,240",,,,,,,,,,,,,,,,,,,
Sign up,"1,676","1,872","1,945","1,802","1,685","2,010","1,910","2,516","2,501","2,491","1,916","1,806","2,196","2,302","2,126","2,390","2,160","1,544","1,452","1,985","2,389","2,528","2,790","2,857","2,285","2,084","2,799","3,158","2,871","3,047","2,433",,"69,526",,,,,,55576.11111,,,,,,,,,,,,,
KYC Completed,836,953,982,896,819,"1,045",988,"1,129","1,197","1,167",966,832,"1,045","1,005","1,103","1,074","1,015",810,762,972,"1,063","1,003","1,074","1,340","1,016",870,"1,187","1,331","1,230","1,361","1,199",,"32,270",,,,,,,,,,,,,,,,,,,
FS_ELIGIBLE,384,464,486,446,375,523,482,605,588,613,469,423,504,474,521,567,516,387,334,478,593,533,589,716,520,441,617,839,815,799,719,,"16,820",L0 Target Jan25,,Projection Disb.,L0 vs Target,,,,,,,,,,,,,,,
First Disbursement Personal,384,447,463,462,353,504,478,548,524,556,479,392,480,492,511,552,523,407,346,504,562,557,528,718,528,411,506,718,697,706,680,,"16,016",Personal,"18,530","15,045",86.43%,,,,,,,,,,,,,,,
First Disb.FidoBiz New,1,8,2,2,1,3,7,10,0,1,4,2,5,3,5,5,3,4,6,7,7,8,4,9,5,8,11,4,14,10,6,,165,FidoBiz (BL0) - New,338,155,,,,,,,,,,,,,,,,
First Disb. FidoBiz New Partnerships,0,0,1,0,1,0,0,0,0,1,0,1,4,1,1,1,0,2,2,0,0,0,0,0,2,0,1,0,1,5,4,,28,FidoBiz (BL0) - New Partnership,-,26,,,,,,,,,,,,,,,,
First Disb. FidoBiz Migrated New,3,6,6,3,4,3,5,3,2,4,1,2,20,18,10,8,7,3,6,9,11,10,16,29,9,5,23,19,18,15,15,,293,FidoBiz (ML0) - Migrated New,462,275,,,,,,,,,,,,,,,,
First Disb. FidoBiz Migrated Old,8,6,7,5,2,9,5,5,4,6,5,1,27,22,11,14,9,6,6,15,18,24,13,28,25,16,47,42,43,44,29,,502,FidoBiz (ML0) - Migrated Old,"1,260",472,,,,,,,,,,,,,,,,
Cost Digital,"$2,518","$2,543","$2,644","$2,615","$2,622","$3,048","$2,976","$3,021","$3,298","$3,386","$3,140","$2,839","$3,115","$3,262","$3,204","$3,478","$2,912","$2,547","$2,262","$2,784","$3,045","$3,339","$3,418","$3,565","$3,480","$2,976","$3,343","$3,422","$3,534","$3,107","$3,013",,"$94,453",,,,,,,,,,,,,,,,,,,
Cost offline ,$118,$118,$118,$118,$118,$118,$118,$118,$118,$118,$118,$118,$118,$118,$118,$118,$118,$118,$118,$118,$118,$118,$118,$118,$118,$118,$118,$118,$118,$118,$118,,"$3,673",,,,,,,,,,,,,,,,,,,
CAC,$6.85,$5.85,$5.93,$5.89,$7.72,$6.25,$6.38,$5.63,$6.52,$6.28,$6.75,$7.49,$6.61,$6.81,$6.43,$6.45,$5.76,$6.45,$6.72,$5.68,$5.56,$6.12,$6.65,$5.07,$6.73,$7.38,$6.68,$4.90,$5.13,$4.47,$4.54,,$6.05,Projection Budget VS Monthly Budget,,,,,,,,,,,,,,,,,,
CPI,$1.18,$1.11,$1.10,$1.15,$1.22,$1.19,$1.16,$1.00,$1.01,$0.99,$1.18,$1.15,$1.07,$1.03,$1.01,$1.04,$1.07,$1.23,$1.15,$1.13,$0.95,$0.98,$0.96,$0.97,$1.12,$1.03,$0.90,$0.81,$0.88,$0.87,$0.91,,$1.03,"$92,179","$95,940",,,,,,,,,,,,,,,,,
CPL,$1.57,$1.42,$1.42,$1.52,$1.63,$1.58,$1.62,$1.25,$1.37,$1.41,$1.70,$1.64,$1.47,$1.47,$1.56,$1.50,$1.40,$1.73,$1.64,$1.46,$1.32,$1.37,$1.27,$1.29,$1.57,$1.48,$1.24,$1.12,$1.27,$1.06,$1.29,,$1.41,,,,,,,,,,,,,,,,,,,
CPKYC,$3.15,$2.79,$2.81,$3.05,$3.35,$3.03,$3.13,$2.78,$2.85,$3.00,$3.37,$3.55,$3.09,$3.36,$3.01,$3.35,$2.99,$3.29,$3.12,$2.99,$2.98,$3.45,$3.29,$2.75,$3.54,$3.56,$2.92,$2.66,$2.97,$2.37,$2.61,,$3.04,,,,,,,,,,,,,,,,,,,
Installs/SignUp,75%,78%,78%,76%,75%,76%,72%,80%,74%,70%,70%,70%,72%,70%,65%,69%,77%,71%,70%,77%,72%,71%,75%,75%,71%,69%,73%,73%,70%,82%,71%,,73%,"74,287",,,Budget cost,"$128,251",,,,,,,,,,,,,,
Sign Up/KYC completed,50%,51%,50%,50%,49%,52%,52%,45%,48%,47%,50%,46%,48%,44%,52%,45%,47%,52%,52%,49%,44%,40%,38%,47%,44%,42%,42%,42%,43%,45%,49%,,46%,"35,657.86",,,Total,"$98,126",,,,,,,,,,,,,,
KYC/First Disb.,46%,48%,47%,52%,43%,49%,49%,49%,44%,48%,50%,47%,47%,49%,47%,52%,52%,51%,46%,53%,54%,56%,50%,54%,53%,48%,44%,54%,58%,53%,58%,,50%,"19,968",,,GH,,,,,,,,,,,,,,,
FS/First Disb.,100%,98%,96%,104%,95%,97%,101%,92%,89%,91%,103%,93%,97%,105%,99%,98%,102%,107%,106%,107%,96%,106%,90%,102%,103%,95%,84%,86%,87%,90%,96%,,96%,"30,951",,,Paid,"$94,453",,,,,,,,,,,,,,
New install/ First dis,17%,19%,19%,20%,16%,19%,18%,18%,16%,16%,18%,15%,16%,15%,16%,16%,19%,19%,17%,20%,17%,16%,14%,19%,17%,14%,13%,17%,17%,19%,20%,,17%,"20,000",17103.1,,Offline,"$3,673",,,,,,,,,,,,,,
SignUp/First dis.,23%,24%,24%,26%,21%,25%,25%,22%,21%,22%,25%,22%,22%,22%,24%,23%,24%,27%,24%,26%,24%,22%,19%,25%,23%,20%,19%,23%,25%,24%,28%,,23%,$4.91,$5.74,,FidoBiz GH,,,,,,,,,,,,,,,
Issues,,,,,,,,,,,,,,,,,,,,,,Margins issue,,,KYC Issue,,,,,,,,,$4.73,$5.52,,UG,,,,,,,,,,,,,,,
,,,"$4,621.31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$5.83,,,Paid,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Offline,,,,,,,,,,,,,,,
Cost,Rate USDGHC: ,15.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FidoBiz UG,,,,,,,,,,,,,,,
Google,"$1,873","$1,893","$2,077","$2,070","$2,155","$2,372","$2,257","$2,329","$2,581","$2,721","$2,624","$2,394","$2,360","$2,441","$2,408","$2,622","$2,071","$1,798","$1,729","$1,910","$2,063","$2,413","$2,525","$2,634","$2,797","$2,448","$2,539","$2,289","$2,742","$2,276","$2,225",,"$71,632","16,791",,,,,,,,,,,,,,,,,,
Twitter,$0,$0,$10,$10,$10,$10,$10,$10,$10,$10,$10,$10,$10,$10,$10,$10,$0,$0,$0,$0,$0,$10,$10,$15,$15,$15,$15,$15,$15,$15,$10,,$275,0.00,,,,,,,,,,,,,,,,,,
Facebook,$341,$315,$217,$219,$243,$302,$277,$263,$285,$268,$257,$217,$275,$328,$335,$332,$332,$332,$323,$371,$453,$453,$295,$277,$261,$268,$275,$239,$228,$235,$219,,"$9,036",19,,,,,,,,,,,,,,,,,,
Appnext,$29,$34,$27,$39,$29,$38,$42,$41,$57,$56,$36,$34,$47,$51,$37,$59,$43,$34,$25,$58,$64,$68,$70,$71,$85,$60,$70,$83,$78,$63,$55,,"$1,583",$13.42,,,,,,,,,,,,,,,,,,
Apple Search Ads,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$91,$94,$97,$95,,$377,,,,,,,,,,,,,,,,,,,
Remarketing SMS,$51,$66,$77,$64,$0,$77,$141,$128,$116,$71,$28,$0,$173,$183,$164,$207,$218,$135,$0,$261,$272,$146,$270,$320,$86,$0,$182,$443,$154,$197,$186,,"$4,417",,,,,,,,,,,,,,,,,,,
Unapplied Leads,$39,$51,$51,$28,$0,$64,$64,$64,$64,$76,$0,$0,$64,$64,$64,$64,$64,$64,$0,$0,$8,$64,$64,$64,$51,$0,$77,$77,$39,$39,$39,,"$1,409",,,,,,,,,,,,,,,,,,,
CleverTap MJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,,,,,,,,,,,,,,,,
Kochava,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,,$917,,,,,,,,,,,,,,,,,,,
MTN,$19,$19,$19,$19,$19,$19,$19,$19,$19,$19,$19,$19,$19,$19,$19,$19,$19,$19,$19,$19,$19,$19,$19,$19,$19,$19,$19,$19,$19,$19,$19,,$584,"94,453",,,,,,,,,,,,,,,,,,
AT,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,,,,,,,,,,,,,,,,,
MTN Blast SMS,$136,$136,$136,$136,$136,$136,$136,$136,$136,$136,$136,$136,$136,$136,$136,$136,$136,$136,$136,$136,$136,$136,$136,$136,$136,$136,$136,$136,$136,$136,$136,,"$4,223",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,,,,,,,,,,,,,,,,,
Poster,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,,,,,,,,,,,,,,,,,
Billboards,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,,,,,,,,,,,,,,,,,
Radio,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,,,,,,,,,,,,,,,,,
Stickers,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,,,,,,,,,,,,,,,,,
Influencer - Delay,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,,,,,,,,,,,,,,,,,
Field Agents,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,,,,,,,,,,,,,,,,,
Ambassadors + Referrals,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,,,,,,,,,,,,,,,,,
Social Campaigns,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,,,,,,,,,,,,,,,,,
Video Production and Content,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,,,,,,,,,,,,,,,,,
PR,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,,,,,,,,,,,,,,,,,
Partnerships,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,,,,,,,,,,,,,,,,,,,,
Office Branding,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,,,,,,,,,,,,,,,,,
FIdoBiz Box,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,,"$1,837",,,,,,,,,,,,,,,,,,,
Referal payments,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,,"$1,835","3,673",,,,,,,,,,,,,,,,,,
Events,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,,,,,,,,,,,,,,,,,
Organic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Budget,Cost,Installs,Disb.,CAC,CPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organic,,$0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Google Ads,,"$71,632",#N/A,#N/A,#N/A,$0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter-Android,,$275,#N/A,#N/A,$0.0,$0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,,"$9,036",#N/A,#N/A,#N/A,$0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AppNext - Android,,"$1,583",#N/A,#N/A,$0.0,$0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNO MTN,,$584,#N/A,786,$0.7,$0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNO AT,,$0,#N/A,158,$0.0,$0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTN SMS,,"$4,223",#N/A,0,$0.0,$0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remarketing SMS,,"$4,417",#N/A,#N/A,#N/A,$0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unapplied_Leads,,"$1,409",#N/A,#N/A,#N/A,$0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CleverTap MJ,,$0,#N/A,#N/A,#N/A,$0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV,,$0,#N/A,1,$0.0,$0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Posters,,$0,#N/A,3,$0.0,$0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billboard,,$0,#N/A,24,$0.0,$0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radio,,$0,#N/A,37,$0.0,$0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stickers,,$0,#N/A,41,$0.0,$0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delay,,$0,#N/A,92,$0.0,$0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuame Eugene,,$0,#N/A,11,$0.0,$0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambassadors + Referrals,,$0,#N/A,0,$0.0,$0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Campaigns,,$0,#N/A,#N/A,$0.0,$0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR,,$0,#N/A,#N/A,$0.0,$0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field Agents,,$0,#N/A,#N/A,$0.0,$0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,$0.00,"$93,159.44",#N/A,#N/A,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,